,listing.advertiser.bannerUrl,listing.advertiser.contacts,listing.advertiser.id,listing.advertiser.logoUrl,listing.advertiser.name,listing.advertiser.preferredColourHex,listing.advertiser.type,listing.auctionSchedule.auctionLocation,listing.auctionSchedule.time,listing.hasFloorplan,listing.hasVideo,listing.headline,listing.id,listing.inspectionSchedule.byAppointment,listing.inspectionSchedule.recurring,listing.inspectionSchedule.times,listing.labels,listing.listingSlug,listing.listingType,listing.media,listing.priceDetails.displayPrice,listing.priceDetails.price,listing.priceDetails.priceFrom,listing.priceDetails.priceTo,listing.propertyDetails.allPropertyTypes,listing.propertyDetails.area,listing.propertyDetails.bathrooms,listing.propertyDetails.bedrooms,listing.propertyDetails.buildingArea,listing.propertyDetails.carspaces,listing.propertyDetails.displayableAddress,listing.propertyDetails.features,listing.propertyDetails.landArea,listing.propertyDetails.latitude,listing.propertyDetails.longitude,listing.propertyDetails.postcode,listing.propertyDetails.propertyType,listing.propertyDetails.region,listing.propertyDetails.state,listing.propertyDetails.street,listing.propertyDetails.streetNumber,listing.propertyDetails.suburb,listing.propertyDetails.unitNumber,listing.summaryDescription,listings,project.bannerUrl,project.displayableAddress,project.features,project.id,project.labels,project.logoUrl,project.media,project.name,project.preferredColorHex,project.projectSlug,project.state,project.suburb,type,date
0,https://images.domain.com.au/img/Agencys/139/banner_139.jpeg,"[{'name': 'Georgi Bates', 'photoUrl': 'https://images.domain.com.au/img/139/contact_1605963.jpeg?mod=191218-110709'}, {'name': 'Claudia Merkert', 'photoUrl': 'https://images.domain.com.au/img/139/contact_1566884.jpeg?mod=191218-110709'}]",139.0,https://images.domain.com.au/img/Agencys/139/logo_139.GIF,Cunninghams Real Estate,#00313b,Agency,,,True,False,"Space, style and northerly views by the village",2015939507.0,False,False,"[{'openingTime': '2020-01-15T11:00:00', 'closingTime': '2020-01-15T11:30:00'}, {'openingTime': '2020-01-18T11:00:00', 'closingTime': '2020-01-18T11:30:00'}]",[],3-1-lombard-street-balgowlah-nsw-2093-2015939507,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015939507_1_1_191205_014456-w5472-h3648'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015939507_2_1_191205_014456-w5472-h3648'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015939507_3_1_191205_014456-w5472-h3648'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015939507_4_1_191205_014456-w5472-h3648'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015939507_5_1_191205_014456-w2339-h3508'}]","Guide $1,300,000",,,,['ApartmentUnitFlat'],Northern Beaches,1.0,2.0,133.0,2.0,"3/1 Lombard Street, Balgowlah","['AirConditioning', 'BuiltInWardrobes', 'Floorboards', 'InternalLaundry', 'SecureParking', 'NorthFacing', 'Dishwasher']",,-33.79283,151.262543,2093,ApartmentUnitFlat,Sydney Region,NSW,Lombard Street,1,BALGOWLAH,3,"<b></b><br />FIND. From its bright and sunny interiors and sumptuous contemporary finishes to its sweeping northerly views and unbeatable location, this impressive security apartment ticks all the boxes. Placed mid-floor in a boutique building of five ...",,,,,,,,,,,,,,PropertyListing,2019-12-20
1,https://images.domain.com.au/img/Agencys/139/banner_139.jpeg,"[{'name': 'Kelly Santos', 'photoUrl': 'https://images.domain.com.au/img/139/contact_1246901.jpeg?mod=191213-135916'}]",139.0,https://images.domain.com.au/img/Agencys/139/logo_139.GIF,Cunninghams Real Estate,#00313b,Agency,,,True,False,Pet-friendly Upper Duplex with Outdoor Oasis,2015829288.0,False,False,[],[],2-201-balgowlah-road-balgowlah-nsw-2093-2015829288,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015829288_2_1_191030_071041-w4008-h2674'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015829288_1_1_191030_071041-w4008-h2674'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015829288_6_1_191030_071116-w4008-h2671'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015829288_3_1_191030_071041-w4008-h2672'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015829288_4_1_191030_071116-w4008-h2672'}]","Asking Price $1,389,000",,,,['SemiDetached'],Northern Beaches,1.0,2.0,,1.0,"2/201 Balgowlah Road, Balgowlah","['AirConditioning', 'Gas', 'Shed']",,-33.7899475,151.262543,2093,SemiDetached,Sydney Region,NSW,Balgowlah Road,201,BALGOWLAH,2,"<b></b><br />FIND. Unique architectural detailing, a level backyard complete with spa, and contemporary finishes throughout define this delightful duplex home, privately positioned amidst a treetop outlook. 

LOVE. The striking street presence, thank...",,,,,,,,,,,,,,PropertyListing,2019-12-20
2,https://images.domain.com.au/img/Agencys/29953/banner_29953.jpeg,"[{'name': 'Ian Clarke', 'photoUrl': 'https://images.domain.com.au/img/29953/contact_1393561.jpeg?mod=191217-125853'}, {'name': 'David Hayden', 'photoUrl': 'https://images.domain.com.au/img/29953/contact_1393200.jpeg?mod=191217-125852'}]",29953.0,https://images.domain.com.au/img/Agencys/29953/logo_29953.png,Stone Real Estate Forest,#142129,Agency,,,True,False,Townhome extraordinaire,2015734162.0,False,False,"[{'openingTime': '2019-12-21T14:00:00', 'closingTime': '2019-12-21T14:30:00'}]",[],1a-nield-avenue-balgowlah-nsw-2093-2015734162,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015734162_1_1_191009_055513-w4500-h3000'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015734162_2_1_191009_055513-w4500-h3000'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015734162_3_1_191009_055513-w4500-h3000'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015734162_4_1_191009_055641-w4500-h3000'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015734162_5_1_191009_055641-w4500-h3000'}]","Price Guide $1,880,000 - $1,930,000",,,,['Townhouse'],Northern Beaches,2.0,4.0,,2.0,"1A Nield Avenue, Balgowlah","['BuiltInWardrobes', 'Ensuite', 'SecureParking', 'Bath']",316.0,-33.798317,151.259918,2093,Townhouse,Sydney Region,NSW,Nield Avenue,1A,BALGOWLAH,,"<b></b><br />This outstanding house-sized townhome delivers; boasting an expansive family friendly floorplan, multiple living and entertaining zones and harbour vistas from its upper level. Nestled peacefully in an intimate cul-de-sac, it is freestandi...",,,,,,,,,,,,,,PropertyListing,2019-12-20
3,https://images.domain.com.au/img/Agencys/31498/banner_31498.png?date=131793955350540280,"[{'name': 'Dr Paul Howe', 'photoUrl': 'https://images.domain.com.au/img/31498/contact_1538711.png?mod=191114-054831'}, {'name': 'Allen Fernandez', 'photoUrl': 'https://images.domain.com.au/img/31498/contact_1579364.jpeg?mod=191113-154305'}]",31498.0,https://images.domain.com.au/img/Agencys/31498/logo_31498.png?date=131793955304915471,Oxbridge,#010B15,Agency,,,True,False,"RARE 622m2 BLOCK IN PRIME LOCATION FOR SALE - FOR DEVELOPMENT, OCCUPY, INVESTMENT OR LAND-BANKING",2015494509.0,False,False,[],[],82-condamine-street-balgowlah-nsw-2093-2015494509,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014517270_6_1_180720_010603-w711-h533'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014517270_3_1_180720_010613-w711-h533'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014517270_4_1_180720_010617-w711-h533'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014517270_5_1_180720_010601-w711-h533'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014517270_7_1_180720_010608-w711-h533'}]",PRICED TO SELL NOW,,,,['BlockOfUnits'],Northern Beaches,3.0,8.0,250.0,3.0,"82 Condamine Street, Balgowlah","['BuiltInWardrobes', 'Floorboards', 'Gas', 'SwimmingPool', 'Dishwasher', 'FullyFenced']",622.0,-33.7962265,151.26474,2093,BlockOfUnits,Sydney Region,NSW,Condamine Street,82,BALGOWLAH,,"<b></b><br />Set on a generous 622sqm  block and brimming with classic ambience 82 Condamine Street is an exceptional solid brick duplex that delivers easy, beachside living in an unbeatable address. Enjoying fresh, light-filled interiors from its priz...",,,,,,,,,,,,,,PropertyListing,2019-12-20
4,https://images.domain.com.au/img/Agencys/2725/banner_2725.png?date=131816438635572198,"[{'name': 'Glen Wirth'}, {'name': 'Tim Wirth', 'photoUrl': 'https://images.domain.com.au/img/2725/contact_1706988.jpeg?mod=191220-155912'}, {'name': 'Nicola Harris', 'photoUrl': 'https://images.domain.com.au/img/2725/contact_1706989.jpeg?mod=191220-155912'}]",2725.0,https://images.domain.com.au/img/Agencys/2725/logo_2725.png?date=131816438274493233,LJ Hooker Seaforth,#000000,Agency,,,True,False,Fabulous Resort Style Living,2015960524.0,False,False,"[{'openingTime': '2019-12-21T10:30:00', 'closingTime': '2019-12-21T11:00:00'}, {'openingTime': '2020-01-08T10:30:00', 'closingTime': '2020-01-08T11:00:00'}, {'openingTime': '2020-01-11T10:30:00', 'closingTime': '2020-01-11T11:00:00'}]",['Under offer'],15-8-koorala-street-manly-vale-nsw-2093-2015960524,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015960524_1_1_191212_031056-w2100-h1400'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015960524_2_1_191212_031056-w2100-h1400'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015960524_3_1_191212_031056-w2100-h1400'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015960524_4_1_191212_031242-w2100-h1400'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015960524_5_1_191212_031242-w2100-h1400'}]",Contact Agent,,,,['ApartmentUnitFlat'],Northern Beaches,1.0,1.0,,1.0,"15/8 Koorala Street, Manly Vale","['BuiltInWardrobes', 'Ensuite', 'InternalLaundry', 'SwimmingPool', 'Gym']",,-33.7840347,151.26828,2093,ApartmentUnitFlat,Sydney Region,NSW,Koorala Street,8,MANLY VALE,15,"<b></b><br />Located in the highly regarded 'The Peninsula' resort-style security complex, this one bedroom apartment is a great find for the investor or owner occupier.

'The Peninsula' offers beautifully landscaped gardens and grounds and wonderful...",,,,,,,,,,,,,,PropertyListing,2019-12-20
5,https://images.domain.com.au/img/Agencys/6937/banner_6937.png?date=131913724539656649,"[{'name': 'Peter Mosedale', 'photoUrl': 'https://images.domain.com.au/img/6937/contact_1595000.jpeg?mod=191217-134903'}, {'name': 'Sam Bibby', 'photoUrl': 'https://images.domain.com.au/img/6937/contact_1594919.jpeg?mod=191217-134903'}]",6937.0,https://images.domain.com.au/img/Agencys/6937/logo_6937.png?date=131915479200791751, Upstate ,#000000,Agency,,,True,True,Brand 1 + Study Bedroom Apartment,2015616000.0,False,False,"[{'openingTime': '2019-12-21T10:00:00', 'closingTime': '2019-12-21T10:30:00'}]",['New homes'],1-267-269-condamine-street-manly-vale-nsw-2093-2015616000,NewHomes,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015616000_1_1_191202_035116-w4000-h3000'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015616000_2_1_191204_031928-w1706-h1279'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015616000_2_1_190904_075506-w2785-h2067'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015616000_4_1_191204_031928-w1631-h1231'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015616000_3_1_191202_035116-w1650-h1237'}]",Sales Suite Now Open,,,,['NewApartments'],Northern Beaches,1.0,1.0,76.0,1.0,"1/267-269 Condamine Street, Manly Vale","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'InternalLaundry', 'PetsAllowed', 'Intercom', 'Heating', 'Study']",,-33.78671,151.266266,2093,NewApartments,Sydney Region,NSW,Condamine Street,267-269,MANLY VALE,1,"<b></b><br />Sales suite now open on-site!

Cutting-edge design and luxury combine in Sydney's latest place to be - the Northern Beaches gateway from the city.

27 sleek studios, 1, 1 + study & 2 bedroom properties on the doorstep of Manly Beach an...",,,,,,,,,,,,,,PropertyListing,2019-12-20
6,https://images.domain.com.au/img/Agencys/6937/banner_6937.png?date=131913724539656649,"[{'name': 'Peter Mosedale', 'photoUrl': 'https://images.domain.com.au/img/6937/contact_1595000.jpeg?mod=191217-134903'}, {'name': 'Sam Bibby', 'photoUrl': 'https://images.domain.com.au/img/6937/contact_1594919.jpeg?mod=191217-134903'}]",6937.0,https://images.domain.com.au/img/Agencys/6937/logo_6937.png?date=131915479200791751, Upstate ,#000000,Agency,,,True,True,Brand New 2 Bedroom in the Heart of Manly Vale,2015616001.0,False,False,"[{'openingTime': '2019-12-21T10:00:00', 'closingTime': '2019-12-21T10:30:00'}]",['New homes'],5-267-269-condamine-street-manly-vale-nsw-2093-2015616001,NewHomes,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015616001_1_1_191202_035149-w3999-h2999'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015616000_7_1_191204_031928-w1641-h1232'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015616001_2_1_190904_075506-w2785-h2067'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015616001_2_1_191202_035149-w1643-h1229'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015616000_4_1_191204_031928-w1631-h1231'}]",Sales Suite Now Open,,,,['NewApartments'],Northern Beaches,1.0,2.0,85.0,1.0,"5/267-269 Condamine Street, Manly Vale","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'InternalLaundry', 'PetsAllowed', 'Intercom', 'Heating', 'Study']",,-33.78671,151.266266,2093,NewApartments,Sydney Region,NSW,Condamine Street,267-269,MANLY VALE,5,"<b></b><br />Sales suite now open on site! 

Cutting-edge design and luxury combine in Sydney's latest place to be - where the city meets the sea.

27 sleek studios, 1, 1 + study & 2 bedroom properties on the doorstep of Manly Beach and the cusp of...",,,,,,,,,,,,,,PropertyListing,2019-12-20
7,https://images.domain.com.au/img/Agencys/6937/banner_6937.png?date=131913724539656649,"[{'name': 'Peter Mosedale', 'photoUrl': 'https://images.domain.com.au/img/6937/contact_1595000.jpeg?mod=191113-212449'}, {'name': 'Sam Bibby', 'photoUrl': 'https://images.domain.com.au/img/6937/contact_1594919.jpeg?mod=191107-165658'}]",6937.0,https://images.domain.com.au/img/Agencys/6937/logo_6937.png?date=131915479200791751, Upstate ,#000000,Agency,,,True,True,North Facing Luxury Terrace in Brand New Complex - 50% SOLD!,2014858856.0,True,False,[],[],4-59-campbell-parade-manly-vale-nsw-2093-2014858856,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014846644_8_1_181219_052636-w800-h600'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014846643_5_1_181219_052627-w800-h600'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014846644_6_1_181219_052636-w800-h600'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014846643_7_1_181219_052627-w800-h600'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014846643_6_1_181219_052628-w800-h600'}]","$1,435,000",1435000.0,1435000.0,1435000.0,['Townhouse'],Northern Beaches,2.0,3.0,133.0,1.0,"4/59 Campbell Parade, Manly Vale","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'AlarmSystem', 'Intercom', 'Heating', 'Dishwasher']",,-33.7810135,151.268066,2093,Townhouse,Sydney Region,NSW,Campbell Parade,59,MANLY VALE,4,"<b></b><br />*** Please note open homes are held in our Dee Why Office Suite 15, Level 1, 888 Pittwater Road, Dee Why 
Feel free to contact the team to organise a private inspection.

Expertly designed over three free-flowing levels to maximise its ...",,,,,,,,,,,,,,PropertyListing,2019-12-20
8,https://images.domain.com.au/img/Agencys/6937/banner_6937.png?date=131913724539656649,"[{'name': 'Sam Bibby', 'photoUrl': 'https://images.domain.com.au/img/6937/contact_1594919.jpeg?mod=191125-141056'}, {'name': 'Peter Mosedale', 'photoUrl': 'https://images.domain.com.au/img/6937/contact_1595000.jpeg?mod=191125-141056'}]",6937.0,https://images.domain.com.au/img/Agencys/6937/logo_6937.png?date=131915479200791751, Upstate ,#000000,Agency,,,True,True,Secure Your Luxury Terrace Now Before Completion - 50% SOLD!,2014563860.0,True,False,[],[],2-59-campbell-parade-manly-vale-nsw-2093-2014563860,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014846643_1_1_181219_052627-w800-h600'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014846643_2_1_181219_052631-w800-h600'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014846643_3_1_181219_052627-w800-h600'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014846643_4_1_181219_052629-w800-h600'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2014846643_5_1_181219_052627-w800-h600'}]",Contact Agent,,,,['Townhouse'],Northern Beaches,2.0,3.0,132.0,2.0,"2/59 Campbell Parade, Manly Vale","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'Intercom', 'Heating', 'Dishwasher', 'Study']",,-33.7810135,151.268066,2093,Townhouse,Sydney Region,NSW,Campbell Parade,59,MANLY VALE,2,"<b></b><br />*** Please note open homes are held in our Dee Why Office Suite 15, Level 1, 888 Pittwater Road, Dee Why 
Feel free to contact the team to organise a private inspection.

Expertly designed over three free-flowing levels to maximise its ...",,,,,,,,,,,,,,PropertyListing,2019-12-20
9,https://images.domain.com.au/img/Agencys/12972/banner_12972.jpg?date=131775916513909908,"[{'name': 'Jacquelynn Watson', 'photoUrl': 'https://images.domain.com.au/img/12972/contact_1475222.jpeg?mod=191219-103029'}, {'name': 'Andre de Ruyter', 'photoUrl': 'https://images.domain.com.au/img/12972/contact_1607199.jpeg?mod=191219-103029'}]",12972.0,https://images.domain.com.au/img/Agencys/12972/logo_12972.jpg?date=131775915751587570,Ray White Freshwater,#FEE536,Agency,,,False,False,"over 650sqm North facing block, brimming with possibility",2015828252.0,False,False,"[{'openingTime': '2020-01-18T11:00:00', 'closingTime': '2020-01-18T11:30:00'}]",[],92-kenneth-road-manly-vale-nsw-2093-2015828252,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015828252_6_1_191030_055137-w4134-h2756'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015828252_2_1_191030_055016-w4134-h2756'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015828252_3_1_191030_055016-w4134-h2756'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015828252_4_1_191030_055137-w4134-h2756'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2015828252_5_1_191030_055137-w4134-h2756'}]",CONTACT AGENT,,,,['House'],Northern Beaches,2.0,4.0,,2.0,"92 Kenneth Road, Manly Vale","['BuiltInWardrobes', 'Floorboards', 'Gas', 'SecureParking']",651.0,-33.7861443,151.265686,2093,House,Sydney Region,NSW,Kenneth Road,92,MANLY VALE,,"<b></b><br />Enjoying an amazingly central setting on a generous north to rear 651 sqm block, this much-loved full brick home has been tightly held for almost 60 years. Built by its current owners, it has seen much change in that time and now stands re...",,,,,,,,,,,,,,PropertyListing,2019-12-20
