,listing.advertiser.bannerUrl,listing.advertiser.contacts,listing.advertiser.id,listing.advertiser.logoUrl,listing.advertiser.name,listing.advertiser.preferredColourHex,listing.advertiser.type,listing.auctionSchedule.auctionLocation,listing.auctionSchedule.time,listing.hasFloorplan,listing.hasVideo,listing.headline,listing.id,listing.inspectionSchedule.byAppointment,listing.inspectionSchedule.recurring,listing.inspectionSchedule.times,listing.labels,listing.listingSlug,listing.listingType,listing.media,listing.priceDetails.displayPrice,listing.priceDetails.price,listing.priceDetails.priceFrom,listing.priceDetails.priceTo,listing.propertyDetails.allPropertyTypes,listing.propertyDetails.area,listing.propertyDetails.bathrooms,listing.propertyDetails.bedrooms,listing.propertyDetails.buildingArea,listing.propertyDetails.carspaces,listing.propertyDetails.displayableAddress,listing.propertyDetails.features,listing.propertyDetails.landArea,listing.propertyDetails.latitude,listing.propertyDetails.longitude,listing.propertyDetails.postcode,listing.propertyDetails.propertyType,listing.propertyDetails.region,listing.propertyDetails.state,listing.propertyDetails.street,listing.propertyDetails.streetNumber,listing.propertyDetails.suburb,listing.propertyDetails.unitNumber,listing.summaryDescription,listings,project.bannerUrl,project.displayableAddress,project.features,project.id,project.labels,project.logoUrl,project.media,project.name,project.preferredColorHex,project.projectSlug,project.state,project.suburb,type,first_seen,last_seen,displayPrice,fromPrice,toPrice,Sold Date
0,https://images.domain.com.au/img/Agencys/18746/banner_18746.GIF,"[{'name': 'Andrew White', 'photoUrl': 'https://images.domain.com.au/img/18746/contact_1625574.jpeg?mod=200707-171654'}, {'name': 'Melissah White', 'photoUrl': 'https://images.domain.com.au/img/18746/contact_1625579.jpeg?mod=200703-074122'}]",18746.0,https://images.domain.com.au/img/Agencys/18746/logo_18746.GIF,Stone Real Estate Seaforth,#283036,Agency,,,True,False,Light & bright delight,2016318434.0,False,False,"[{'openingTime': '2020-07-11T10:30:00', 'closingTime': '2020-07-11T23:00:00'}, {'openingTime': '2020-07-15T10:30:00', 'closingTime': '2020-07-15T23:00:00'}]",[],5-11-rickard-street-balgowlah-nsw-2093-2016318434,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016318434_1_1_200617_052916-w4500-h3000'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016318434_2_1_200617_052915-w4500-h3000'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016318434_3_1_200617_052916-w4500-h3000'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016318434_4_1_200617_052915-w4500-h3000'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016318434_5_1_200617_052915-w4500-h3000'}]","Guide: $730,000 - $795,000",,,,['ApartmentUnitFlat'],Northern Beaches,1.0,2.0,65.0,1.0,"5/11 Rickard Street, Balgowlah","['BuiltInWardrobes', 'Gas', 'InternalLaundry', 'PetsAllowed', 'GroundFloor', 'Bath']",,-33.793026,151.25921599999995,2093,ApartmentUnitFlat,Sydney Region,NSW,Rickard Street,11,BALGOWLAH,5,"<b></b><br />Peacefully positioned at the rear of this centrally located boutique block of only 15 apartments, awaits this light-filled ground floor apartment with rare leafy outlooks. This tranquil find features an open plan design that maximises rela...",,,,,,,,,,,,,,PropertyListing,09/07/2020,09/07/2020,730000-795000,730000.0,795000.0,
1,https://images.domain.com.au/img/Agencys/19215/banner_19215.png?date=131165732001538995,"[{'name': 'Mike Dunn', 'photoUrl': 'https://images.domain.com.au/img/19215/contact_1231944.JPG?mod=200707-094712'}, {'name': 'Milly Brigden', 'photoUrl': 'https://images.domain.com.au/img/19215/contact_1717882.jpeg?mod=200708-161624'}]",19215.0,https://images.domain.com.au/img/Agencys/19215/logo_19215.png?date=131165733909508735,Clarke & Humel Property,#584a47,Agency,On Site,2020-07-18T10:00:00,True,True,5-star family entertainer,2016331853.0,False,False,"[{'openingTime': '2020-07-11T11:45:00', 'closingTime': '2020-07-11T12:15:00'}]",[],17-dalley-street-queenscliff-nsw-2096-2016331853,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016331853_1_1_200624_050110-w1210-h806'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016331853_2_1_200624_050110-w1210-h806'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016331853_3_1_200624_050110-w1210-h806'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016331853_4_1_200624_050110-w1000-h562'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016331853_5_1_200624_050110-w1210-h806'}]","Auction guide: $3,650,000",,,,['House'],Northern Beaches,4.0,5.0,,4.0,"17 Dalley Street, Queenscliff","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'SwimmingPool', 'NorthFacing', 'Bath', 'Dishwasher', 'Study']",672.0,-33.7814674,151.282455,2096,House,Sydney Region,NSW,Dalley Street,17,QUEENSCLIFF,,"<b></b><br />Soaring across three extensive levels with panoramic views to the ocean and sun drenched north rear gardens with a pool, this superbly appointed residence has been ingeniously designed to provide the ultimate in luxurious liveability and s...",,,,,,,,,,,,,,PropertyListing,09/07/2020,09/07/2020,3650000,3650000.0,3650000.0,
2,https://images.domain.com.au/img/Agencys/2775/banner_2775.GIF,"[{'name': 'Tim Mumford', 'photoUrl': 'https://images.domain.com.au/img/2775/contact_1467427.jpeg?mod=200616-110450'}, {'name': 'Tracy Black', 'photoUrl': 'https://images.domain.com.au/img/2775/contact_1402186.jpeg?mod=200606-133909'}]",2775.0,https://images.domain.com.au/img/Agencys/2775/logo_2775.GIF?date=2015-04-16-17-24-43,Stone Real Estate Manly,#283036,Agency,,,True,False,Exceptional opportunity,2016077253.0,True,False,[],[],57-queenscliff-road-queenscliff-nsw-2096-2016077253,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016077253_1_1_200213_064728-w5464-h3070'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016077253_2_1_200213_064728-w5464-h3070'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016077253_3_1_200213_064728-w5464-h3070'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016077253_4_1_200213_064728-w4500-h3000'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016077253_5_1_200213_064728-w4500-h3000'}]","Price Guide $4,000,000",,,,['House'],Northern Beaches,6.0,8.0,,2.0,"57 Queenscliff  Road, Queenscliff",[],499.0,-33.78346,151.287491,2096,House,Sydney Region,NSW,Queenscliff  Road,57,QUEENSCLIFF,,"<b></b><br />Rarely does an opportunity like this present itself in such a tightly held location. Sitting in a prime position on Queenscliff Headland this property offers dual street frontage, duplex design comprising of 8 bedrooms, development potenti...",,,,,,,,,,,,,,PropertyListing,09/07/2020,09/07/2020,4000000,4000000.0,4000000.0,
3,https://images.domain.com.au/img/Agencys/5878/banner_5878.jpg?date=131515710167511830,"[{'name': 'Anthony  Walls', 'photoUrl': 'https://images.domain.com.au/img/5878/contact_861440.jpeg?mod=200620-100912'}]",5878.0,https://images.domain.com.au/img/Agencys/5878/logo_5878.jpg?date=131515710090795267,MAX WALLS INTERNATIONAL,#000000,Agency,,,True,False,FIVE STAR FUTURE - PRIME POSITION BESIDE MANLY BEACH,2016236632.0,True,False,[],[],36-38-greycliffe-street-queenscliff-nsw-2096-2016236632,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016236632_2_1_200430_120715-w4134-h2756'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016236632_1_1_200506_032109-w5464-h3780'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016236632_3_1_200430_120715-w4134-h2756'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016236632_4_1_200430_120715-w5551-h3145'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016236632_5_1_200430_120715-w4134-h2756'}]","$5,200,000",,,,['House'],Northern Beaches,2.0,4.0,,2.0,"36-38 Greycliffe Street, Queenscliff","['PetsAllowed', 'WaterViews', 'Study']",750.0,-33.7847481,151.2867,2096,House,Sydney Region,NSW,Greycliffe Street,36-38,QUEENSCLIFF,,"<b></b><br />$5,200,000.

Supremely positioned on a dual 750sqm allotment, in a quiet seaside cul-de-sac on the foreshores of Queenscliff Lagoon,  this commanding two storey full-brick residence offers so much more than meets the eye.  

Enjoying p...",,,,,,,,,,,,,,PropertyListing,09/07/2020,09/07/2020,5200000,5200000.0,5200000.0,
4,https://images.domain.com.au/img/Agencys/23550/banner_23550.png?date=131866421317704115,"[{'name': 'Brendan Pomponio', 'photoUrl': 'https://images.domain.com.au/img/23550/contact_1539470.jpeg?mod=200707-165655'}, {'name': 'Daniel Hindmarsh', 'photoUrl': 'https://images.domain.com.au/img/23550/contact_1303773.png?mod=200709-180452'}]",23550.0,https://images.domain.com.au/img/Agencys/23550/logo_23550.png?date=131866420965995194,Belle Property Dee Why,#386250,Agency,,,True,True,THE ULTIMATE COASTAL RETREAT WITH EXCLUSIVE VANTAGE POINT VIEWS,2016352081.0,False,False,[],['New'],12-seaview-avenue-curl-curl-nsw-2096-2016352081,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016352081_1_1_200703_064335-w4016-h2681'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016352081_2_1_200703_064335-w4016-h2680'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016352081_3_1_200703_064335-w4016-h2681'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016352081_4_1_200703_064333-w4016-h2680'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016352081_5_1_200703_064333-w3000-h2000'}]",Expressions of Interest,price search,5000000.0,5000000.0,['House'],Northern Beaches,3.0,5.0,,2.0,"12 Seaview  Avenue, Curl Curl","['AirConditioning', 'Ensuite', 'Gas', 'SecureParking', 'SwimmingPool', 'Bath', 'Heating']",490.0,-33.772575399999994,151.290024,2096,House,Sydney Region,NSW,Seaview  Avenue,12,CURL CURL,,"<b></b><br />Combining state-of-the-art luxury with unobstructed ocean views over Curl Curl Beach and out to sea, this stunning residence presents as a statement in design quality and contemporary style. The home's streamlined interiors celebrate the o...",,,,,,,,,,,,,,PropertyListing,09/07/2020,09/07/2020,,5000000.0,5000000.0,
5,https://images.domain.com.au/img/Agencys/20128/banner_20128.GIF,"[{'name': 'Nicholas Dunn', 'photoUrl': 'https://images.domain.com.au/img/20128/contact_1615672.jpeg?mod=200707-175850'}, {'name': 'Peter Chauncy', 'photoUrl': 'https://images.domain.com.au/img/20128/contact_1062748.jpeg?mod=200708-181318'}]",20128.0,https://images.domain.com.au/img/Agencys/20128/logo_20128.GIF,McGrath Crows Nest,#000018,Agency,On Site,2020-07-22T18:00:00,True,False,Located within the 'Cranbrook Gardens' complex,2016343741.0,False,False,"[{'openingTime': '2020-07-11T10:00:00', 'closingTime': '2020-07-11T10:30:00'}, {'openingTime': '2020-07-15T10:00:00', 'closingTime': '2020-07-15T10:30:00'}, {'openingTime': '2020-07-18T10:00:00', 'closingTime': '2020-07-18T10:30:00'}, {'openingTime': '2020-07-22T17:30:00', 'closingTime': '2020-07-22T18:00:00'}]",[],11-78-spofforth-street-cremorne-nsw-2090-2016343741,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016343741_1_1_200630_080315-w1600-h1200'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016343741_2_1_200630_080315-w1600-h1200'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016343741_3_1_200630_080315-w1600-h1200'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016343741_4_1_200630_080315-w1600-h1200'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016343741_5_1_200630_080315-w1600-h1200'}]","Guide $550,000",,,,['ApartmentUnitFlat'],North Shore - Lower,1.0,1.0,,,"11/78 Spofforth Street, Cremorne",['BuiltInWardrobes'],,-33.8321075,151.229126,2090,ApartmentUnitFlat,Sydney Region,NSW,Spofforth Street,78,CREMORNE,11,"<b></b><br />Located within the 'Cranbrook Gardens' complex, this chic first floor apartment showcases stylishly renovated interiors brimming with northern sunlight. Conveniently located, the property is moments from village shops, city buses and ferri...",,,,,,,,,,,,,,PropertyListing,09/07/2020,09/07/2020,550000,550000.0,550000.0,
6,https://images.domain.com.au/img/Agencys/3358/banner_3358.png?date=131097622957281981,"[{'name': 'Ann Ramsay Arkins', 'photoUrl': 'https://images.domain.com.au/img/3358/contact_1625533.jpeg?mod=200708-115607'}, {'name': 'Simone Curran', 'photoUrl': 'https://images.domain.com.au/img/3358/contact_1561513.jpeg?mod=200708-115607'}]",3358.0,https://images.domain.com.au/img/Agencys/3358/logo_3358.png?date=131097622045406691,Raine & Horne Double Bay,#f9ae00,Agency,Domain Auction House,2020-07-23T18:00:00,True,False,Premium Design in an Enviable Lifestyle Precinct,2016335536.0,False,False,"[{'openingTime': '2020-07-11T13:15:00', 'closingTime': '2020-07-11T13:45:00'}, {'openingTime': '2020-07-15T13:15:00', 'closingTime': '2020-07-15T13:45:00'}, {'openingTime': '2020-07-18T13:15:00', 'closingTime': '2020-07-18T13:45:00'}, {'openingTime': '2020-07-22T13:15:00', 'closingTime': '2020-07-22T13:45:00'}]",[],204-2-macpherson-street-cremorne-nsw-2090-2016335536,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016335536_1_1_200625_065509-w4134-h2756'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016335536_2_1_200625_065509-w4134-h2756'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016335536_3_1_200625_065509-w4134-h2756'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016335536_4_1_200625_065509-w4134-h2756'}]",Auction,price search,550000.0,560000.0,['ApartmentUnitFlat'],North Shore - Lower,1.0,,,,"204/2 Macpherson Street, Cremorne","['BuiltInWardrobes', 'Gas', 'Gym']",,-33.827602399999996,151.2307,2090,ApartmentUnitFlat,Sydney Region,NSW,Macpherson Street,2,CREMORNE,204,"<b></b><br />A statement in contemporary style and committed to quality, this designer apartment promises a high measure of comfort in a location of endless appeal. The intuitive layout smartly establishes the feeling of openness and offers a substanti...",,,,,,,,,,,,,,PropertyListing,09/07/2020,09/07/2020,,550000.0,560000.0,
7,https://images.domain.com.au/img/Agencys/17418/banner_17418.png?date=131866421280830150,"[{'name': 'Matthew Smythe', 'photoUrl': 'https://images.domain.com.au/img/17418/contact_1109501.jpeg?mod=200709-112019'}, {'name': 'Mark Ryan', 'photoUrl': 'https://images.domain.com.au/img/17418/contact_1606155.jpeg?mod=200709-112019'}]",17418.0,https://images.domain.com.au/img/Agencys/17418/logo_17418.png?date=131866420935996006,Belle Property Neutral Bay,#386250,Agency,,,True,False,Light-filled apartment with an ultra-convenient lifestyle,2016284022.0,True,False,[],[],18-120-cabramatta-road-cremorne-nsw-2090-2016284022,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016284022_1_1_200528_064109-w6750-h4500'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016284022_2_1_200528_064109-w6750-h4500'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016284022_3_1_200528_064109-w6727-h4500'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016284022_4_1_200528_064109-w6750-h4500'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016284022_5_1_200528_064109-w6750-h4500'}]","For Sale $670,000",,,,['ApartmentUnitFlat'],North Shore - Lower,1.0,1.0,46.0,1.0,"18/120 Cabramatta Road, Cremorne","['BuiltInWardrobes', 'Gas', 'SecureParking', 'NorthFacing', 'Intercom', 'Dishwasher']",,-33.829052000000004,151.22898899999996,2090,ApartmentUnitFlat,Sydney Region,NSW,Cabramatta Road,120,CREMORNE,18,"<b></b><br />Poised in an elevated Northerly position in this fabulous residential block right in the heart of Cremorne Village, this well presented 1 bedroom apartment has it all! The North facing lounge and dining area flows seamlessly out to a wide ...",,,,,,,,,,,,,,PropertyListing,09/07/2020,09/07/2020,670000,670000.0,670000.0,
8,https://images.domain.com.au/img/Agencys/3795/banner_3795.png?date=131749755437043099,"[{'name': 'Andrew Thomas', 'photoUrl': 'https://images.domain.com.au/img/3795/contact_1695852.jpeg?mod=200704-085049'}]",3795.0,https://images.domain.com.au/img/Agencys/3795/logo_3795.png?date=131749754011145599,Century 21 Living,#252527,Agency,,,True,False,Contemporary Loft Apartment,2016306026.0,False,False,"[{'openingTime': '2020-07-11T13:00:00', 'closingTime': '2020-07-11T13:30:00'}]",[],118-2-macpherson-street-cremorne-nsw-2090-2016306026,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016306026_1_1_200610_071506-w1024-h683'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016306026_2_1_200610_071507-w1024-h683'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016306026_3_1_200610_071507-w1024-h683'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016306026_4_1_200610_071506-w1024-h683'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016306026_5_1_200610_071506-w1024-h683'}]","$685,000",685000.0,685000.0,685000.0,['ApartmentUnitFlat'],North Shore - Lower,1.0,1.0,52.0,1.0,"118/2 Macpherson Street, Cremorne","['Ensuite', 'Floorboards', 'Gym']",,-33.827602399999996,151.2307,2090,ApartmentUnitFlat,Sydney Region,NSW,Macpherson Street,2,CREMORNE,118,"<b></b><br />Located perfectly in the heart of vibrant Cremorne with Hayden Orpheum cinema, restaurants and shops on your door step and easy access to transport. This contemporary light filled split level one bedroom loft apartment offers complete secu...",,,,,,,,,,,,,,PropertyListing,09/07/2020,09/07/2020,685000,685000.0,685000.0,
9,https://images.domain.com.au/img/Agencys/33/banner_33.png?date=131516636375722368,"[{'name': 'Jon Snead', 'photoUrl': 'https://images.domain.com.au/img/33/contact_1399180.jpeg?mod=200709-100102'}]",33.0,https://images.domain.com.au/img/Agencys/33/logo_33.png?date=131516635428404496,The Agency North,#373737,Agency,On Site,2020-08-01T11:45:00,True,False,"Peaceful, modern apartment with parking in lifestyle location",2016361609.0,False,False,"[{'openingTime': '2020-07-11T11:00:00', 'closingTime': '2020-07-11T11:30:00'}, {'openingTime': '2020-07-15T11:00:00', 'closingTime': '2020-07-15T11:30:00'}, {'openingTime': '2020-07-18T11:00:00', 'closingTime': '2020-07-18T11:30:00'}, {'openingTime': '2020-07-22T11:00:00', 'closingTime': '2020-07-22T11:30:00'}, {'openingTime': '2020-07-25T11:00:00', 'closingTime': '2020-07-25T11:30:00'}, {'openingTime': '2020-07-29T11:00:00', 'closingTime': '2020-07-29T11:30:00'}, {'openingTime': '2020-08-01T11:30:00', 'closingTime': '2020-08-01T11:45:00'}]",['New'],4-8a-rangers-road-cremorne-nsw-2090-2016361609,Sale,"[{'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016361609_1_1_200709_120237-w6720-h4480'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016361609_2_1_200709_120237-w6720-h4480'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016361609_3_1_200709_120237-w6720-h4480'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016361609_4_1_200709_120137-w6720-h4480'}, {'category': 'Image', 'url': 'https://bucket-api.domain.com.au/v1/bucket/image/2016361609_5_1_200709_120137-w6720-h4480'}]",Contact Agent,price search,725000.0,720000.0,['ApartmentUnitFlat'],North Shore - Lower,1.0,1.0,,1.0,"4/8a Rangers Road, Cremorne","['BuiltInWardrobes', 'Gas']",,-33.832263899999994,151.22460900000004,2090,ApartmentUnitFlat,Sydney Region,NSW,Rangers Road,8a,CREMORNE,4,"<b></b><br />Tucked away from the road in a peaceful low-rise block, this whisper-quiet second floor security apartment is just a stone's throw from Neutral Bay Village, and an easy stroll to Cremorne Point. With an array of dining, shopping and transp...",,,,,,,,,,,,,,PropertyListing,09/07/2020,09/07/2020,,725000.0,720000.0,
